17:42:27.963974 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963979 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963981 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963983 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963985 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963987 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963989 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.963990 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.964005 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.964008 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.964009 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.964075 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.965315 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 46
17:42:27.965637 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965651 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965653 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965655 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965656 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965658 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965660 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965661 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965672 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965674 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965799 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.965842 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965850 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.965859 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.967011 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.967516 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.967530 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.967533 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.967535 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.967537 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.967539 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968046 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968060 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968063 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968065 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968067 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968069 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968070 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.968168 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.969331 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.969699 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969712 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969715 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969717 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969719 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
